DATE,ETH_TYPE,ETH_SRC,IPv4_SRC,IPv4_DST,IP_PROTO,PORT_SRC,PORT_DST,COOKIE,BYTE_COUNT,DURATION(s),HARD_TIMEOUT,IDLE_TIMEOUT,PACKET_COUNT,PRIORITY,REASON
2017/03/16 17:16:24,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,5.139.146.154,6(TCP),58919/tcp,5410/tcp,1565,570,140,0,120,8,40000,IDLE_TIMEOUT
2017/03/16 17:16:24,0x0800(IPv4),64:51:06:9d:a2:40,5.139.146.154,192.168.1.175,6(TCP),5410/tcp,58919/tcp,1565,570,140,0,120,8,40000,IDLE_TIMEOUT
2017/03/16 17:16:28,0x0800(IPv4),64:51:06:9d:a2:40,157.55.6.71,192.168.1.175,6(TCP),443/tcp,58926/tcp,1571,1425,123,0,120,9,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,104.109.105.123,6(TCP),58927/tcp,443/tcp,1572,2615,123,0,120,15,40000,IDLE_TIMEOUT
2017/03/16 17:16:24,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,213.49.226.71,6(TCP),58918/tcp,7520/tcp,1564,860,140,0,120,13,40000,IDLE_TIMEOUT
2017/03/16 17:16:24,0x0800(IPv4),64:51:06:9d:a2:40,213.49.226.71,192.168.1.175,6(TCP),7520/tcp,58918/tcp,1564,860,140,0,120,13,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),64:51:06:9d:a2:40,104.109.105.123,192.168.1.175,6(TCP),443/tcp,58927/tcp,1572,2615,123,0,120,15,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,207.46.194.10,6(TCP),58928/tcp,443/tcp,1573,3565,123,0,120,19,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),64:51:06:9d:a2:40,207.46.194.10,192.168.1.175,6(TCP),443/tcp,58928/tcp,1573,3565,123,0,120,19,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,204.79.197.200,6(TCP),58930/tcp,443/tcp,1575,3584,130,0,120,20,40000,IDLE_TIMEOUT
2017/03/16 17:16:19,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,13.107.3.128,6(TCP),58908/tcp,443/tcp,1518,1724,176,0,120,9,40000,IDLE_TIMEOUT
2017/03/16 17:16:19,0x0800(IPv4),64:51:06:9d:a2:40,13.107.3.128,192.168.1.175,6(TCP),443/tcp,58908/tcp,1518,1724,176,0,120,9,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),64:51:06:9d:a2:40,204.79.197.200,192.168.1.175,6(TCP),443/tcp,58930/tcp,1575,3584,130,0,120,20,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,111.221.77.158,17(UDP),25960/udp,443/udp,1576,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:21,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,172.16.4.2,17(UDP),56601/udp,53/udp,1554,21511,236,0,20,271,40000,IDLE_TIMEOUT
2017/03/16 17:16:21,0x0800(IPv4),64:51:06:9d:a2:40,172.16.4.2,172.16.4.33,17(UDP),53/udp,56601/udp,1554,21511,236,0,20,271,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),64:51:06:9d:a2:40,192.168.1.175,111.221.77.158,17(UDP),443/udp,25960/udp,1576,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,157.55.130.162,17(UDP),25960/udp,443/udp,1577,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:29,0x0800(IPv4),64:51:06:9d:a2:40,192.168.1.175,157.55.130.162,17(UDP),443/udp,25960/udp,1577,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,62.48.148.210,17(UDP),123/udp,123/udp,1578,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,62.48.148.210,17(UDP),123/udp,123/udp,1578,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,91.189.94.4,17(UDP),123/udp,123/udp,1579,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,91.189.94.4,17(UDP),123/udp,123/udp,1579,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,212.113.190.2,17(UDP),123/udp,123/udp,1580,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:32,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,212.113.190.2,17(UDP),123/udp,123/udp,1580,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:37,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,80.172.224.24,17(UDP),123/udp,123/udp,1581,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:37,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,80.172.224.24,17(UDP),123/udp,123/udp,1581,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:42,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,91.189.91.157,17(UDP),123/udp,123/udp,1582,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:42,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,91.189.91.157,17(UDP),123/udp,123/udp,1582,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:43,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,31.181.143.49,17(UDP),25960/udp,20853/udp,1583,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:16:43,0x0800(IPv4),64:51:06:9d:a2:40,192.168.1.175,31.181.143.49,17(UDP),20853/udp,25960/udp,1583,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:04,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,24.229.231.66,17(UDP),25960/udp,42913/udp,1584,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:04,0x0800(IPv4),64:51:06:9d:a2:40,192.168.1.175,24.229.231.66,17(UDP),42913/udp,25960/udp,1584,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:07,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,91.189.89.199,17(UDP),123/udp,123/udp,1585,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:07,0x0800(IPv4),64:51:06:9d:a2:40,192.168.3.251,91.189.89.199,17(UDP),123/udp,123/udp,1585,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:45,0x0800(IPv4),fa:a8:ad:3f:8c:95,192.168.1.175,224.0.0.252,17(UDP),61112/udp,5355/udp,1587,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:17:45,0x0800(IPv4),01:00:5e:00:00:fc,192.168.1.175,224.0.0.252,17(UDP),5355/udp,61112/udp,1587,0,120,0,120,0,40000,IDLE_TIMEOUT
2017/03/16 17:35:52,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,172.16.4.2,17(UDP),5384/udp,53/udp,1593,249,20,0,20,2,40000,IDLE_TIMEOUT
2017/03/16 17:35:52,0x0800(IPv4),64:51:06:9d:a2:40,172.16.4.2,172.16.4.33,17(UDP),53/udp,5384/udp,1593,249,20,0,20,2,40000,IDLE_TIMEOUT
2017/03/16 17:35:52,0x0800(IPv4),50:46:5d:4d:6b:dd,192.168.3.251,194.8.30.16,17(UDP),123/udp,123/udp,1594,0,120,0,120,0,40000,IDLE_TIMEOUT
